% of NBV,% من صافي القيمة
+{0} quarters,+{0} أرباع
Accumulated Depreciation,مجمع الإهلاك
Actions Performed,الأعمال المنفذة
Adjustment ID,رقم التعديل
Adjustments,التعديلات
Age (Years),العمر (سنوات)
Age Bucket (Years),نطاق العمر (سنوات)
ai_asset_ageing,أعمار الأصول
ai_asset_movement_register,سجل حركة الأصول والعهدة
ai_asset_purchase_register,سجل شراء الأصول
ai_asset_register,سجل الأصول التفصيلي
ai_asset_value_summary,ملخص قيم الأصول
ai_depreciation_plan,جدول الإهلاك
ai_disposal_register,سجل الاستبعاد والبيع
ai_end_of_life_alert,أصول قرب نهاية العمر الإنتاجي
ai_maintenance_log_register,سجل أعمال الصيانة
ai_maintenance_schedule,جدول الصيانة الدورية
ai_repair_register,سجل إصلاحات الأصول
ai_value_adjustment_register,سجل تعديل قيم الأصول
Amount,المبلغ
As Of Date,كشف حتى تاريخ
Asset,الأصل
Asset Acquisitions (Monthly),مشتريات الأصول (شهري)
Asset Ageing,أعمار الأصول
Asset Categories,فئات الأصول
Asset Category,فئة الأصول
Asset Depreciation Schedule,جدول إهلاك الأصول
Asset Finance HQ,مركز الإهلاك والقيم
Asset ID,رقم الأصل
Asset Insights,رؤى الأصول
Asset Insights HQ,مركز قيادة الأصول
Asset Insights HQ — مركز قيادة الأصول,Asset Insights HQ — مركز قيادة الأصول
Asset Location,موقع الأصل
Asset Maintenance,صيانة الأصول
Asset Maintenance Log,سجل صيانة الأصول
Asset Maintenance Team,فريق صيانة الأصول
Asset Movement Register,سجل حركة الأصول والعهدة
Asset Movements (30d),حركات الأصول (30 يوم)
Asset Movements by Purpose,حركات الأصول حسب الغرض
Asset Name,اسم الأصل
Asset Purchase Lines,بنود شراء الأصول
Asset Purchase Register,سجل شراء الأصول
Asset Register,سجل الأصول التفصيلي
Asset Registers,سجلات الأصول
Asset Repair,إصلاح أصول
Asset Repair Cost (Monthly),تكلفة إصلاح الأصول (شهري)
Asset Repair Register,سجل إصلاحات الأصول
Asset Value Adjustment,تعديل قيمة الأصول
Asset Value Adjustment Register,سجل تعديل قيم الأصول
Asset Value Summary,ملخص قيم الأصول
Assets,الأصول
assets,أصول
Assets by Category,الأصول حسب الفئة
Assets In Maintenance,أصول تحت الصيانة
Assets Nearing End Of Life,أصول قرب نهاية العمر
Assets Sold Or Scrapped,أصول مباعة أو مستبعدة
Assigned To,مكلّف إلى
Available For Use Date,تاريخ الجاهزية للاستخدام
Average Age,متوسط العمر
Average Age (Years),متوسط العمر (سنوات)
Booked,مُرحّل
Booked Depreciations,الأقساط المُرحّلة
Booking Status,حالة الترحيل
Cancelled,ملغي
Capitalize Repair Cost,رسملة تكلفة الإصلاح
